City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Isangel,VU,-19.55,169.2667,74.25,77,26,8.05,scattered clouds
253,Kieta,PG,-6.2167,155.6333,77.99,81,83,3.56,broken clouds
254,Lodja,CD,-3.4833,23.4333,69.15,97,100,1.72,overcast clouds
255,Katsuura,JP,35.1333,140.3,70.86,69,80,2.42,broken clouds
256,Taoudenni,ML,22.6783,-3.9836,110.21,11,10,8.79,clear sky
257,General Pico,AR,-35.6566,-63.7568,68.88,26,28,8.93,scattered clouds
258,Christchurch,NZ,-43.5333,172.6333,62.33,68,100,5.75,overcast clouds
259,Sa Kaeo,TH,13.75,102.3333,74.25,92,100,5.17,light rain
260,Pitimbu,BR,-7.4706,-34.8086,82.99,63,2,12.91,clear sky
261,Vagur,FO,61.4732,-6.8119,49.33,79,100,7.31,overcast clouds
262,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,93,0,4.47,clear sky
263,Ulladulla,AU,-35.35,150.4667,55.63,94,99,10.47,light rain
264,Bajil,YE,15.0584,43.2851,92.75,47,7,10.74,clear sky
265,Leningradskiy,RU,69.3833,178.4167,20.44,89,93,6.11,overcast clouds
266,Bagan,RU,54.1001,77.6646,31.42,76,100,8.05,overcast clouds
267,Shimanovsk,RU,52.0,127.7,35.64,71,63,4.16,broken clouds
268,Vestmannaeyjar,IS,63.4427,-20.2734,48.27,82,99,11.77,overcast clouds
269,Husavik,IS,66.0449,-17.3389,46.22,68,100,2.62,overcast clouds
270,Meadow Lake,US,34.8014,-106.5436,71.4,40,0,2.75,clear sky
271,Palu,ID,-0.8917,119.8707,76.28,88,97,2.89,overcast clouds
272,Balkhash,KZ,46.844,74.9804,50.5,48,26,15.17,scattered clouds
273,Chuy,UY,-33.6971,-53.4616,59.83,49,0,13.35,clear sky
274,Sinjar,IQ,36.3209,41.8754,84.47,12,0,9.82,clear sky
275,Xichang,CN,27.8964,102.2634,59.61,88,98,1.39,overcast clouds
276,Ancud,CL,-41.8697,-73.8203,65.23,60,0,1.63,clear sky
277,Akcakoca,TR,41.0866,31.1162,70.27,83,44,5.86,scattered clouds
278,Korla,CN,41.7597,86.1469,72.12,24,26,6.24,scattered clouds
279,Usinsk,RU,65.9939,57.5281,29.91,74,41,8.46,scattered clouds
280,Divo,CI,5.8397,-5.36,76.17,95,94,5.06,moderate rain
281,Abnub,EG,27.2696,31.1511,104.22,13,0,12.82,clear sky
282,Coihaique,CL,-45.5752,-72.0662,50.61,62,0,6.91,clear sky
283,Alice Town,BS,25.7167,-79.3,82.51,81,100,27.63,overcast clouds
284,Ostrovnoy,RU,68.0531,39.5131,41.09,82,100,9.33,overcast clouds
285,Norrtalje,SE,59.758,18.705,55.02,68,25,11.88,scattered clouds
286,Kharabali,RU,47.4196,47.2568,70.66,57,100,5.99,overcast clouds
287,Goundam,ML,16.4145,-3.6708,102.88,18,100,5.21,overcast clouds
288,Demyansk,RU,57.643,32.466,45.37,88,100,4.25,overcast clouds
289,Maragogi,BR,-9.0122,-35.2225,80.51,69,40,12.08,scattered clouds
290,Tambun,ID,-6.2641,107.0712,81.03,66,23,1.77,few clouds
291,Leeton,AU,-34.5667,146.4,52.9,100,40,4.61,mist
292,Moron,AR,-34.6534,-58.6198,64.96,50,20,12.66,few clouds
293,Kenora,CA,49.8167,-94.4337,47.37,76,20,9.22,few clouds
294,Houston,US,29.7633,-95.3633,78.98,45,0,11.5,clear sky
295,Am Timan,TD,11.0297,20.2827,81.48,75,100,5.77,overcast clouds
296,Setermoen,NO,68.861,18.3486,55.36,56,36,5.01,scattered clouds
297,Inhambane,MZ,-23.865,35.3833,78.78,69,20,7.0,few clouds
298,Wahiawa,US,21.5028,-158.0236,75.52,78,0,4.61,clear sky
299,Male,MV,4.1748,73.5089,78.75,94,75,25.32,broken clouds
300,Marawi,PH,7.9986,124.2928,68.5,96,100,4.38,overcast clouds
301,Torbay,CA,47.6666,-52.7314,68.77,94,100,17.27,light intensity shower rain
302,Chifeng,CN,42.2683,118.9636,63.77,55,63,4.16,broken clouds
303,San Andres,CO,12.5847,-81.7006,86.02,74,40,9.22,scattered clouds
304,Dudinka,RU,69.4058,86.1778,21.99,92,39,6.67,scattered clouds
305,Cherskiy,RU,68.75,161.3,23.95,73,14,2.66,few clouds
306,Shalinskoye,RU,55.7228,93.7594,39.38,95,100,6.2,light rain
307,Djenne,ML,13.9061,-4.5533,95.63,36,52,6.33,broken clouds
308,Nara,JP,34.6851,135.8049,71.49,52,100,1.39,overcast clouds
309,Esso,RU,55.9333,158.7,35.17,95,100,3.85,overcast clouds
310,Padang,ID,-0.9492,100.3543,77.05,85,100,3.94,heavy intensity rain
311,La Baule-Escoublac,FR,47.2922,-2.364,61.72,78,100,11.5,light rain
312,Acapulco,MX,16.8634,-99.8901,80.58,80,99,3.11,overcast clouds
313,Kodiak,US,57.79,-152.4072,51.31,87,100,26.46,mist
314,San Borja,BO,-14.8167,-66.85,91.71,43,91,3.38,overcast clouds
315,Port-Gentil,GA,-0.7193,8.7815,82.36,69,75,14.97,broken clouds
316,Aklavik,CA,68.2191,-135.0107,16.29,92,36,2.95,scattered clouds
317,Del Rio,US,29.3627,-100.8968,81.23,57,0,11.99,clear sky
318,Shirochanka,RU,46.6497,38.3978,68.05,78,79,15.7,broken clouds
319,Point Fortin,TT,10.1833,-61.6833,84.85,76,100,8.14,overcast clouds
320,Manado,ID,1.487,124.8455,77.77,88,40,2.3,scattered clouds
321,Kilindoni,TZ,-7.9139,39.6668,76.44,77,98,14.03,overcast clouds
322,Bac Lieu,VN,9.285,105.7244,78.4,89,100,11.99,overcast clouds
323,Duiven,NL,51.9333,6.0167,58.91,79,75,5.75,drizzle
324,Richards Bay,ZA,-28.783,32.0377,75.69,68,3,15.43,clear sky
325,Seymour,US,38.9592,-85.8903,57.06,76,92,5.01,overcast clouds
